,SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit,StockValue
12553,9024153090856,Scarlet Ibis 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,4.0,,,31.990000000000002,127.96000000000001
12575,851561005108,Scrappys Black Lemon Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,Bitters,,4.0,,,17.990000000000002,71.96000000000001
12581,851561005061,Scrappys Celery Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,Bitters,,4.0,,,17.990000000000002,71.96000000000001
12594,851561005092,Scrappys Orleans Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,Bitters,,5.0,,,17.99,89.94999999999999
12597,851561005115,Scrappys Seville Orange Bitters 5oz,Customer Square 3,Oak Hill,ACTIVE,Bitters,,3.0,,,20.99,62.97
12647,700987863635,Sertodo Jigger,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,3.0,,,25.0,75.0
12663,700987863796,Sertodo Shaker Set,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,3.0,,,86.0,258.0
12823,040232684906,Silent Pool Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,,3.0,,,55.99,167.97
12826,1309413094,Silver Oak Alexander Cabernet Library 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,,6.0,,,112.99000000000001,677.94
12828,785214290750,Silver Oak Napa Cabernet Sauvignon 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,,4.0,,,139.99,559.96
12832,7771612000162,Singani 63 750ml,Customer Square 3,Oak Hill,ACTIVE,Singani,,4.0,,,33.99,135.96
12911,9781607747321,Smugglers Cove,Customer Square 3,Oak Hill,ACTIVE,Books,,6.0,,,30.0,180.0
12944,0856972005051,Solstandet Akvavit 1L,Customer Square 3,Oak Hill,ACTIVE,Aquavit,,5.0,,,39.989999999999995,199.95
12980,7503031213089,Sotoleros Lalo Y Nando  750ml,Customer Square 3,Oak Hill,ACTIVE,Sotol,,3.0,,,94.99,284.96999999999997
12993,7503031213065,Sotoleros Romel 750ml,Customer Square 3,Oak Hill,ACTIVE,Sotol,,3.0,,,94.99000000000001,284.97
13015,636665075031,Southold Farm Basics of Life 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,,3.0,,,23.990000000000002,71.97
13060,9781604338522,Speedy Cocktails,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,12.95,38.849999999999994
13244,860000128063,Standard Proof Ginger Rye 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,3.0,,,29.99,89.97
13382,84284284255,Super Real Rose Unfiltered 750ml,Customer Square 3,Oak Hill,ACTIVE,Rose,,4.0,,,31.99,127.96
13400,855439000721,Sweet Heat Sugar Rimmer,Customer Square 3,Oak Hill,ACTIVE,Garnish,,6.0,,,7.0,42.0
13410,9421905022101,Swick Sauvignon Blanc 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,3.0,,,22.990000000000002,68.97
13439,086395405002,Takara Jun 750ml,Customer Square 3,Oak Hill,ACTIVE,Shochu,,4.0,,,18.99,75.96
13456,088110170059,Talisker 10y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,,3.0,,,79.99,239.96999999999997
13532,084692300648,Taylor Fladgate Fine Tawny Port  750ml,Customer Square 3,Oak Hill,ACTIVE,Fortified,,12.0,,,,
13537,040232028762,Tears Of Llorona Extra Anejo 1L,Customer Square 3,Oak Hill,ACTIVE,Tequila,,4.0,,,264.99,1059.96
13548,813219020062,Teeling Single Grain 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Irish,,3.0,,,55.99,167.97
13553,720815280236,Teeling Single Malt 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Irish,,7.0,,,,
13571,761503534330,Tempier Bandol Blanc 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,8.0,,,57.99,463.92
13618,094922370891,Tempus Fugit Vieux Pontarlier Absinthe 750ml,Customer Square 3,Oak Hill,ACTIVE,Absinthe,,3.0,,,71.99,215.96999999999997
13643,860004628750,Tequila Ocho Anejo Continental 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,,3.0,,,89.99,269.96999999999997
