Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity
Absinthe Glass Pontarlier,Customer Square 1,3,0.1346153846153846,0.6210675100751979,0,4,0.0,0.0,0.0,Create/Update,14301430,4,12
Absinthe Glass Pontarlier,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,14301430,4,12
Absinthe Glass Pontarlier,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,14301430,4,12
Absinthe Glass Torsade,Customer Square 1,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,14701470,0,1
Absinthe Glass Torsade,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,14701470,0,1
Absinthe Glass Torsade,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,14701470,0,1
Absinthe Saucer Lavender,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000008,4,6
Absinthe Saucer Lavender,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000008,4,6
Absinthe Saucer Lavender,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,1234500000008,4,6
Absinthe Saucer Yellow,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,1234500000009,4,6
Absinthe Saucer Yellow,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000009,4,6
Absinthe Saucer Yellow,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,1234500000009,4,6
Absinthe Spoon,Customer Square 1,6,0.23076923076923078,0.7994080650317895,0,5,0.0,0.0,0.0,Create/Update,10031003,5,10
Absinthe Spoon,Customer Square 2,8,0.25,0.6162853984216179,0,2,0.0,0.0,0.0,Create/Update,10031003,5,10
Absinthe Spoon,Customer Square 3,4,0.11538461538461539,0.46632137126854395,0,3,0.0,0.0,0.0,Create/Update,10031003,5,10
