Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
Fabbri Amarena Cherries 21oz,Customer Square 3,6,0.23076923076923078,0.7994080650317895,0,5,0.0,0.0,0.0,Create/Update,039815110024,1,6,18.33,0.0,1.0,1.0,18.33,18.33
Fairweather Cider Common 4pk,Customer Square 3,27,7.134615384615385,8.145382944564943,0,36,0.0,6.0,12.0,Create/Update,710822737274,2,6,,7.0,-5.0,-10.0,,
Fairweather Cider Smell The Van 4pk,Customer Square 3,1,0.11538461538461539,0.8240109725241748,0,6,0.0,0.0,0.0,Create/Update,710822737298,3,6,,0.0,3.0,3.0,,
Fairweather Cider Tejano Dreams 4pk,Customer Square 3,1,0.11538461538461539,0.8240109725241748,0,6,0.0,0.0,0.0,Create/Update,710822737267,3,6,,0.0,3.0,3.0,,
Famous Grouse 1L,Customer Square 3,38,5.653846153846154,6.702136902007781,0,23,0.0,2.0,12.0,Create/Update,812066020225,1,12,,6.0,-5.0,-11.0,,
Famous Grouse Smokey Black 1L,Customer Square 3,9,0.5576923076923077,1.4062150718870734,0,6,0.0,0.0,0.0,Create/Update,812066021383,1,12,,1.0,0.0,1.0,,
Fee Brothers Aztec Chocolate Bitters 5oz,Customer Square 3,36,2.6538461538461537,2.4952617820474763,0,11,0.0,2.0,4.0,Create/Update,791863140674,4,12,,3.0,1.0,0.0,,
Fee Brothers Black Walnut Bitters 5oz,Customer Square 3,45,14.346153846153847,20.745606221915832,0,134,3.0,7.5,18.0,Create/Update,791863140711,2,12,,14.0,-12.0,-16.0,,
Fee Brothers Bokers Cardamom Bitters 5oz,Customer Square 3,18,0.7115384615384616,1.2608992282911928,0,6,0.0,0.0,1.0,Create/Update,791863140735,2,12,,1.0,1.0,1.0,,
Fee Brothers Celery Bitters 5oz,Customer Square 3,16,0.5576923076923077,0.9886560718482273,0,4,0.0,0.0,1.0,Create/Update,791863140681,1,12,,1.0,0.0,0.0,,
Fee Brothers Cherry Bitters 5oz,Customer Square 3,8,0.4230769230769231,1.2301681224399597,0,6,0.0,0.0,0.0,Create/Update,791863140667,4,12,,0.0,4.0,4.0,,
Fee Brothers Cranberry Bitters 5oz,Customer Square 3,4,0.3269230769230769,1.2360164587862625,0,6,0.0,0.0,0.0,Create/Update,791863140698,4,12,,0.0,4.0,4.0,,
Fee Brothers Fee Foam 5oz,Customer Square 3,18,2.5384615384615383,4.162384387221134,0,14,0.0,0.0,4.0,Create/Update,791863144450,2,12,,3.0,-1.0,-2.0,,
Fee Brothers Grapefruit Bitters 5oz,Customer Square 3,25,0.8653846153846154,1.074688615972913,0,4,0.0,0.0,2.0,Create/Update,791863140551,4,12,,1.0,3.0,2.0,,
Fee Brothers Hibiscus Water 5oz,Customer Square 3,2,0.11538461538461539,0.576923076923077,0,3,0.0,0.0,0.0,Create/Update,791863144504,4,12,,0.0,4.0,4.0,,
Fee Brothers Lemon Bitters 5oz,Customer Square 3,4,0.19230769230769232,0.7081520245969988,0,4,0.0,0.0,0.0,Create/Update,791863140544,4,12,,0.0,4.0,4.0,,
Fee Brothers Lime Bitters 5oz,Customer Square 3,2,0.09615384615384616,0.49066733931434886,0,3,0.0,0.0,0.0,Create/Update,791863140759,2,12,,0.0,2.0,2.0,,
Fee Brothers Mint Bitters 5oz,Customer Square 3,2,0.057692307692307696,0.30467268303374734,0,2,0.0,0.0,0.0,Create/Update,791863140537,4,12,,0.0,4.0,4.0,,
Fee Brothers Orange Bitters 5oz,Customer Square 3,37,1.8653846153846154,2.4339651580358637,0,13,0.0,1.0,2.0,Create/Update,791863140513,3,12,,2.0,1.0,1.0,,
Fee Brothers Orange Flower Water 5oz,Customer Square 3,22,0.8076923076923077,1.3014557165914333,0,6,0.0,0.0,1.0,Create/Update,791863144405,4,12,,1.0,3.0,3.0,,
Fee Brothers Peach Bitters 5oz,Customer Square 3,19,0.5769230769230769,0.9060937684145958,0,4,0.0,0.0,1.0,Create/Update,791863140520,2,12,,1.0,1.0,1.0,,
Fee Brothers Plum Bitters 5oz,Customer Square 3,6,0.5192307692307693,2.214379446111471,0,12,0.0,0.0,0.0,Create/Update,791863140704,2,12,,1.0,1.0,2.0,,
Fee Brothers Rhubarb Bitters 5oz,Customer Square 3,14,0.7115384615384616,1.3204972615463766,0,5,0.0,0.0,1.0,Create/Update,791863140650,4,12,,1.0,3.0,3.0,,
Fee Brothers Rose Water 5oz,Customer Square 3,17,0.7692307692307693,1.5642076467432888,0,8,0.0,0.0,1.0,Create/Update,791863144412,2,12,,1.0,1.0,1.0,,
Fee Brothers Whiskey Barrel Bitters 5oz,Customer Square 3,5,0.21153846153846154,0.6888267187912429,0,3,0.0,0.0,0.0,Create/Update,791863140605,4,12,,0.0,4.0,4.0,,
Fernet Branca 750ml,Customer Square 3,52,37.80769230769231,12.462310042589742,15,79,27.0,37.0,46.25,Create/Update,898563002629,2,6,,38.0,-36.0,-44.0,,
Fernet Gancia 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,857853002237,1,6,,0.0,1.0,1.0,,
Fernet Vallet 750ml,Customer Square 3,10,0.40384615384615385,1.0608344934461769,0,6,0.0,0.0,0.0,Create/Update,887049000013,2,4,,0.0,2.0,2.0,,
Fever Tree Aromatic Tonic 4 Pack,Customer Square 3,1,0.11538461538461539,0.8240109725241748,0,6,0.0,0.0,0.0,Create/Update,898195001854,3,6,,0.0,3.0,3.0,,
Fever Tree Club Soda 4 Pack,Customer Square 3,19,2.6923076923076925,4.016975812045202,0,18,0.0,0.0,6.0,Create/Update,898195001137,6,6,,3.0,3.0,0.0,,
Fever Tree Elderflower Tonic 4 Pack,Customer Square 3,2,0.34615384615384615,1.8280360982024835,0,12,0.0,0.0,0.0,Create/Update,898195001656,6,6,,0.0,6.0,6.0,,
Fever Tree Ginger Ale 4 Pack,Customer Square 3,27,5.9423076923076925,7.677172610404225,0,36,0.0,6.0,12.0,Create/Update,898195001090,4,6,,6.0,-2.0,-8.0,,
Fever Tree Ginger Beer 4 Pack,Customer Square 3,51,63.28846153846154,35.28147069718343,0,162,37.5,60.0,78.0,Create/Update,898195001274,6,6,,63.0,-57.0,-72.0,,
Fever Tree Ginger Beer Can 8 Pack,Customer Square 3,3,0.17307692307692307,0.6994820569028158,0,3,0.0,0.0,0.0,Create/Update,812136030598,4,3,,0.0,4.0,4.0,,
Fever Tree Indian Tonic 4 Pack,Customer Square 3,52,53.80769230769231,37.54844996367435,12,210,30.0,43.0,72.0,Create/Update,898195001014,6,6,,54.0,-48.0,-66.0,,
Fever Tree Indian Tonic Can 8 Pack,Customer Square 3,9,0.6923076923076923,1.623605455323495,0,6,0.0,0.0,0.0,Create/Update,898195001755,4,3,,1.0,3.0,4.0,,
Fever Tree Lime & Yuzu 4 Pack,Customer Square 3,30,9.442307692307692,10.993728039796954,0,36,0.0,6.0,13.5,Create/Update,812136030857,3,6,,9.0,-6.0,-10.0,,
Fever Tree Mediteranian Tonic 4 Pack,Customer Square 3,51,25.346153846153847,11.633645859159172,0,54,18.0,30.0,30.0,Create/Update,898195001519,4,6,,25.0,-21.0,-26.0,,
Fever Tree Pink Grapefruit 4 Pack,Customer Square 3,43,18.923076923076923,16.193358270322,0,102,6.0,18.0,30.0,Create/Update,812136030277,3,6,,19.0,-16.0,-27.0,,
Fever Tree Spiced Orange Ginger Ale 4 Pack,Customer Square 3,1,0.11538461538461539,0.8240109725241748,0,6,0.0,0.0,0.0,Create/Update,898195001885,6,6,,0.0,6.0,6.0,,
Fidencio Mezcal 750ml,Customer Square 3,21,0.46153846153846156,0.6032456592830047,0,2,0.0,0.0,1.0,Create/Update,000309515038,1,4,29.5,0.0,1.0,0.0,29.5,0.0
