,Category,SKU,ProductName,Location,OnHand,Par,Shy,Send
7132,Liqueur,890355001025,Rum Chata 750ml,Oak Hill,9,0,-9,
8229,Bar Tools,084256001288,Vacu Vin Wine Saver Kit,Oak Hill,9,0,-9,
1421,Amaro,088734100708,Campari 375ml,Oak Hill,9,0,-9,
6363,Bar Tools,719812033303,OXO Steel Angle Jigger,Oak Hill,10,1,-9,
655,Bitters,855675001490,Bar Keep Lavender Bitters 8oz,Oak Hill,9,0,-9,
2228,Garnish,123805,Covert Pocket Corkscrew,Oak Hill,9,0,-9,
7328,White,666392839057,Sierra Due Leoni Pinot Grigio 750ml,Oak Hill,9,0,-9,
1484,Fortified,898563002506,Carpano Antica 375ml,Oak Hill,9,0,-9,
1971,Bar Tools,791090525671,Cocktail Kingdom Ice Tray 1.25in,Oak Hill,9,0,-9,
5906,Vodka,088100915615,Monopolowa Vodka 1L,Oak Hill,12,3,-9,
2352,Soju,8809018212038,Damso Soju 375ml,Oak Hill,9,0,-9,
6429,White,650293000012,Paul Cluver Sauvignon Blanc 750ml,Oak Hill,10,1,-9,
4861,Bar Tools,7610154027759,Kuhn Rikon Peeler Black,Oak Hill,9,0,-9,
1720,Tequila,741638321005,Cimarron Reposado 1L,Oak Hill,11,2,-9,
6316,Sake,072546023966,Oni Koroshi Sake Box 180ml,Oak Hill,10,1,-9,
5445,Garnish,187229127289,Luxardo Cherries 400g,Oak Hill,10,1,-9,
3077,Tequila,721059701006,Espolon Blanco 1L,Oak Hill,12,3,-9,
8374,Bar Tools,123628,Viski Teardrop Barspoon 40cm Black,Oak Hill,9,0,-9,
5209,Mixer,700697229721,Liber & Co Grenadine 17oz,Oak Hill,10,1,-9,
2349,Soju,8809018212120,Damso Lychee Soju 375ml,Oak Hill,9,0,-9,
3269,Non Alcoholic Beverage,898195001755,Fever Tree Indian Tonic Can 8 Pack,Oak Hill,10,1,-9,
4783,White,813198701877,Knuttel Family RR Chardonnay 750mL,Oak Hill,9,0,-9,
331,Bitters,075496000407,Angostura Bitters 4oz,Oak Hill,10,1,-9,
2974,Tequila,744607069304,El Jimador Reposado 1L,Oak Hill,10,1,-9,
6152,Bubbles,854657002968,Notterosa Sparkling Rose 750ml,Oak Hill,10,1,-9,
4008,Retail,1234500000100,Handmade Earrings,Oak Hill,9,0,-9,
3329,Red New World,713382533966,Field Recordings Neverland 2017 750ml,Oak Hill,10,1,-9,
6453,Brandy,021296620031,Paul Masson Peach Brandy 200ml,Oak Hill,9,0,-9,
3326,Red New World,637405073270,Field Recordings Freddo 750ml,Oak Hill,9,0,-9,
3320,White,653233615369,Field Recordings Fiction White 750ml,Oak Hill,8,0,-8,
3813,Tequila,811538014038,Gran Centenario Anejo 750ml,Oak Hill,8,0,-8,
8268,Whiskey Bourbon/American,080660045153,Very Old Barton 100 Proof 750ml,Oak Hill,8,0,-8,
7904,Tequila,898627001308,Tequila Ocho Plata 750ml,Oak Hill,8,0,-8,
4606,Whiskey Bourbon/American,096749228409,JW Dant Bonded 1L,Oak Hill,9,1,-8,
2273,Whiskey Canadian,087000007253,Crown Royal 750ml,Oak Hill,9,1,-8,
477,Craft Beer,852895003266,Austin Beerworks Flavor Country Cans 6 Pack,Oak Hill,8,0,-8,
1336,Whiskey Bourbon/American,088004004521,Buffalo Trace White Dog Mash #1 375ml,Oak Hill,9,1,-8,
6266,Whiskey Bourbon/American,080686408406,Old Granddad Bonded 750ml,Oak Hill,9,1,-8,
1372,Whiskey Rye,082000752967,Bulleit Rye 750ml,Oak Hill,8,0,-8,
8075,Whiskey Bourbon/American,898185001918,Treaty Oak Day Drinker 750ml,Oak Hill,8,0,-8,
1723,Tequila,741638323009,Cimarron Reposado 375ml,Oak Hill,8,0,-8,
4935,Rose,3770005389055,La Raimbauderie Sancerre Rose 750mL,Oak Hill,8,0,-8,
135,Bar Tools,10031003,Absinthe Spoon,Oak Hill,8,0,-8,
7500,Glassware,124111,Spiegelau 8.3oz Coupe Glass,Oak Hill,8,0,-8,
1673,Rose,3302902120051,Chateau Vannieres Cotes De Provence Rose 750ml,Oak Hill,8,0,-8,
3539,Tequila,7503018079059,G4 Reposado 750ml,Oak Hill,8,0,-8,
8052,Non Alcoholic Beverage,021136010374,Topo Chico 12oz Bottles,Oak Hill,8,0,-8,
8037,Vodka,619947000044,Titos Vodka 200ml,Oak Hill,10,2,-8,
6043,Vodka,085000022306,New Amsterdam Pineapple 375ml,Oak Hill,8,0,-8,
4436,Whiskey Irish,080432500170,Jameson 750ml,Oak Hill,9,1,-8,
128,Glassware,14701470,Absinthe Glass Torsade,Oak Hill,8,0,-8,
8214,Bar Tools,5060421146751,Urban Bar Japanese Jigger 1-2 oz Stainless,Oak Hill,8,0,-8,
6027,Gin,085000014318,New Amsterdam Gin 750ml,Oak Hill,8,0,-8,
1980,Bar Tools,791090525640,Cocktail Kingdom Ice Tray Collins,Oak Hill,8,0,-8,
1986,Bar Tools,123490,Cocktail Kingdom Japanese Jigger .5-.75 oz Copper,Oak Hill,8,0,-8,
1992,Bar Tools,123492,Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless,Oak Hill,8,0,-8,
4318,Gin,810039720004,Isle of Harris Gin 750ml,Oak Hill,9,1,-8,
5239,Liqueur,029929115091,Licor 43 375ml,Oak Hill,8,0,-8,
5991,Bubbles,810411010396,Naveran Brut Rosado 750ml,Oak Hill,8,0,-8,
2599,Mixer,705105792163,Dirty Sue Olive Juice 750ml,Oak Hill,8,0,-8,
7943,Cider,868606000011,Texas Keeper Goldrush 750ml,Oak Hill,8,0,-8,
5549,Rum,089540448992,Malibu 750ml,Oak Hill,9,1,-8,
7047,Glassware,289767,Rona Coupe Classic Paris 8oz,Oak Hill,8,0,-8,
5043,Red Old World,747154058722,Lan Rioja Gran Reserva 2008 750ml,Oak Hill,8,0,-8,
7325,Tequila,850101001310,Siembra Valles Blanco High Proof 750ml,Oak Hill,8,0,-8,
1954,Bar Tools,791090529693,Cocktail Kingdom Coco Mesh Strainer Copper,Oak Hill,8,0,-8,
3231,Amaro,898563002629,Fernet Branca 750ml,Oak Hill,8,0,-8,
8092,Gin,898185001666,Treaty Oak Waterloo No. 9 1L,Oak Hill,9,1,-8,
7701,Gin,080686958031,Suntory Roku Gin 750ml,Oak Hill,8,0,-8,
8338,Bar Tools,123617,Viski Japanese Jigger 1-2 oz Black,Oak Hill,8,0,-8,
2730,Fortified,094799020011,Dows Tawny Port NV 750ml,Oak Hill,8,0,-8,
8344,Bar Tools,123619,Viski Japanese Jigger 1-2 oz Gold,Oak Hill,8,0,-8,
6762,RTD,850013382019,Ranch Rider Tequila Paloma 12oz 4pk,Oak Hill,9,1,-8,
3973,Rum,000513081459,Hamilton Beachbum Zombie Blend 1L,Oak Hill,9,1,-8,
3134,Cider,710822737274,Fairweather Cider Common 4pk,Oak Hill,8,0,-8,
674,Rose,096925003042,Barnard Griffin Rose 750ml,Oak Hill,8,0,-8,
7659,Mixer,780999000655,Stirrings Dirty Martini Mixer 12oz,Oak Hill,8,0,-8,
3885,Whiskey Irish,080432105993,Green Spot 750ml,Oak Hill,8,0,-8,
