Product,Customer,Count,Mean,Std,Min,Max,25,50,75
99 Party Bucket 50ml,Customer Square 1,23,0.8076923076923077,1.1935477422448386,0,5,0.0,0.0,1.0
99 Party Bucket 50ml,Customer Square 2,15,0.40384615384615385,0.714132485677967,0,3,0.0,0.0,1.0
99 Party Bucket 50ml,Customer Square 3,7,0.15384615384615385,0.41065685584735806,0,2,0.0,0.0,0.0
AKA Mixology Salt,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
AKA Mixology Salt,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
AKA Mixology Salt,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
AUS Pet Nat 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
AUS Pet Nat 750ml,Customer Square 2,6,0.17307692307692307,0.5084347717847033,0,2,0.0,0.0,0.0
AUS Pet Nat 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Abasolo Corn Whisky 50ml,Customer Square 1,8,0.38461538461538464,1.0219484811989554,0,4,0.0,0.0,0.0
Abasolo Corn Whisky 50ml,Customer Square 2,5,0.1346153846153846,0.4397921779242027,0,2,0.0,0.0,0.0
Abasolo Corn Whisky 50ml,Customer Square 3,4,0.1346153846153846,0.5199425320998375,0,3,0.0,0.0,0.0
Abasolo Corn Whisky 750ml,Customer Square 1,13,0.3076923076923077,0.5730640163750516,0,2,0.0,0.0,0.25
Abasolo Corn Whisky 750ml,Customer Square 2,18,0.40384615384615385,0.5967738711224193,0,2,0.0,0.0,1.0
Abasolo Corn Whisky 750ml,Customer Square 3,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0
Aberfeldy 12y 750ml,Customer Square 1,29,0.9038461538461539,1.0608344934461769,0,4,0.0,1.0,1.0
Aberfeldy 12y 750ml,Customer Square 2,44,1.4423076923076923,1.0079198216445122,0,5,1.0,1.0,2.0
Aberfeldy 12y 750ml,Customer Square 3,9,0.17307692307692307,0.3783137610174231,0,1,0.0,0.0,0.0
Aberfeldy 16y 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
Aberfeldy 16y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberfeldy 16y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 2,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0
Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Aberfeldy 21y 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Aberfeldy 21y 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberfeldy 21y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberlour 12y 750ml,Customer Square 1,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0
Aberlour 12y 750ml,Customer Square 2,6,0.11538461538461539,0.3194855331891567,0,1,0.0,0.0,0.0
Aberlour 12y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberlour 16y 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Aberlour 16y 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
Aberlour 16y 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberlour A'bunadh Alba 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberlour A'bunadh Alba 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
Aberlour A'bunadh Alba 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Aberlour Abunadh 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Aberlour Abunadh 750ml,Customer Square 2,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0
Aberlour Abunadh 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Brouilleur 3 Hole,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Brouilleur 3 Hole,Customer Square 2,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0
Absinthe Brouilleur 3 Hole,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 2 Spout,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 2 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain 2 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 4 Spout,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain 4 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain 4 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 6 Spout Lady,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 6 Spout Lady,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain 6 Spout Lady,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 6 Spout Rooster,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain 6 Spout Rooster,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Fountain 6 Spout Rooster,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
