Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,083664873180,Balvenie Trio Pack 50ml,Customer Square 1,0,6,,
Create/Update,876718006395,Bamboo Picks Pack of 24,Customer Square 1,0,24,,
Create/Update,736040542964,Banhez Cuishe 750ml,Customer Square 1,0,1,,
Create/Update,736040538073,Banhez Espadin 1L,Customer Square 1,1,12,,
Create/Update,736040538837,Banhez Espadin 375ml,Customer Square 1,0,12,,
Create/Update,736040542988,Banhez Tobala 750ml,Customer Square 1,0,1,,
Create/Update,080480007072,Banks 5 White Rum 750ml,Customer Square 1,0,6,,
Create/Update,080480007089,Banks 7 Golden Rum 750ml,Customer Square 1,0,6,,
Create/Update,760921594803,Banner Vodka 750ml,Customer Square 1,0,6,,
Create/Update,855675001476,Bar Keep Apple Bitters 8oz,Customer Square 1,0,4,,
Create/Update,855675001490,Bar Keep Lavender Bitters 8oz,Customer Square 1,0,4,,
Create/Update,8410061018166,Barbadillo Fino 750ml,Customer Square 1,0,12,,
Create/Update,857552008035,Bardstown Bourbon Company Discovery 750ml,Customer Square 1,0,6,,
Create/Update,857552008271,Bardstown Bourbon Company Ferrand Cask 750ml,Customer Square 1,0,6,,
Create/Update,857552008028,Bardstown Bourbon Company Fusion 750ml,Customer Square 1,2,6,,
Create/Update,080368533105,Barenjager Honey 1L,Customer Square 1,0,2,,
Create/Update,096925003042,Barnard Griffin Rose 750ml,Customer Square 1,2,12,,
Create/Update,096925003202,Barnard Griffin Syrah Port 500ml,Customer Square 1,0,4,,
Create/Update,852735003029,Barr Hill Gin 750ml,Customer Square 1,0,6,,
Create/Update,852735003111,Barr Hill Tomcat Gin 750ml,Customer Square 1,0,6,,
Create/Update,852735003067,Barr Hill Vodka 750ml,Customer Square 1,0,6,,
Create/Update,736040002789,Barrell Armida 750ml,Customer Square 1,1,2,,
Create/Update,736040539797,Barrell Dovetail 750ml,Customer Square 1,0,2,,
Create/Update,736040002796,Barrell Seagrass 750ml,Customer Square 1,0,2,,
Create/Update,736040542032,Barrell Whiskey Infinite Project 750ml,Customer Square 1,0,2,,
Create/Update,736040544425,Barrell Whiskey Vatted Malt 750ml,Customer Square 1,0,2,,
Create/Update,045635366800,Barrows Intense Ginger 750ml,Customer Square 1,0,6,,
Create/Update,849806002357,Basic Vodka 1L,Customer Square 1,0,12,,
Create/Update,080686012320,Basil Hayden 175L,Customer Square 1,0,6,,
Create/Update,080686012122,Basil Hayden 375ml,Customer Square 1,0,12,,
Create/Update,080686012405,Basil Hayden Bourbon 750ml,Customer Square 1,2,6,,
Create/Update,080686012146,Basil Hayden Dark Rye 750ml,Customer Square 1,1,6,,
Create/Update,080686012344,Basil Hayden Toast 750ml,Customer Square 1,0,6,,
