,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
155,088004045418,99 Cherry Limeade 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,47.0,196.0,194.04,0.99
156,088004045418,99 Cherry Limeade 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,142.0,339.0,335.61,0.99
157,088004045425,99 Chocolate 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,3.0,8.0,7.92,0.99
158,088004045425,99 Chocolate 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,0.0,6.0,5.94,0.9900000000000001
159,088004045456,99 Fruit Punch 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,77.0,165.0,163.35,0.99
160,088004045456,99 Fruit Punch 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,5.0,115.0,113.85,0.99
161,088004045449,99 Guava 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,0.0,5.0,4.95,0.99
162,088004045432,99 Mystery Flavor 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,2.0,,,
163,088004045432,99 Mystery Flavor 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,0.0,7.0,6.93,0.99
164,088004034221,99 Party Bucket 50ml,Customer Square 1,Airport,ACTIVE,Liqueur,6.0,17.0,288.83,16.99
165,088004034221,99 Party Bucket 50ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,8.0,18.0,305.82,16.99
166,088004034221,99 Party Bucket 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,8.0,40.0,679.6,16.990000000000002
167,7503027709251,Abasolo Corn Whisky 50ml,Customer Square 1,Airport,ACTIVE,Whiskey Mexican,53.0,22.0,87.78,3.99
168,7503027709251,Abasolo Corn Whisky 50ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Mexican,9.0,6.0,23.94,3.99
169,7503027709251,Abasolo Corn Whisky 50ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Mexican,61.0,16.0,63.84,3.99
170,7503027709077,Abasolo Corn Whisky 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Mexican,6.0,26.0,1117.74,42.99
171,7503027709077,Abasolo Corn Whisky 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Mexican,6.0,4.0,171.96,42.99
172,7503027709077,Abasolo Corn Whisky 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Mexican,2.0,26.0,1117.74,42.99
173,62067029295,Abbaye Bon Chien 750ml,Customer Square 1,Airport,DEPRECATED,Imp Beer,0.0,,,
174,62067029295,Abbaye Bon Chien 750ml,Customer Square 2,Pleasant Valley,DEPRECATED,Imp Beer,0.0,,,
175,080480220006,Aberfeldy 12y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,2.0,25.0,1039.75,41.59
176,080480220006,Aberfeldy 12y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,2.0,11.0,455.89,41.444545454545455
177,080480220006,Aberfeldy 12y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,8.0,28.0,1139.72,40.70428571428572
178,080480006167,Aberfeldy 16y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,3.0,1.0,114.99,114.99
179,080480006167,Aberfeldy 16y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,2.0,,,
180,080480006167,Aberfeldy 16y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
181,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,1.0,,,
