Action,ProductSKU,ProductName,Location,MinimumBeforeReorder75,MinimumBeforeReorder85,ReorderQuantity,75Savings,85Savings,Stock Locator,PickZones
Create/Update,027724287500,St George Gin Dry Rye Reposado 750ml,Customer Square 2,0,0,6,91.98,91.98,,
Create/Update,027724222006,St George Gin Terroir 200ml,Customer Square 2,0,0,6,23.98,23.98,,
Create/Update,027724227506,St George Gin Terroir 750ml,Customer Square 2,1,1,6,69.98,69.98,,
Create/Update,027724037501,St George Green Chile 750ml,Customer Square 2,0,0,6,65.98,65.98,,
Create/Update,027724187503,St George NOLA Coffee Liqueur 750ml,Customer Square 2,0,1,6,37.99,0.0,,
Create/Update,027724577502,St George Pear Brandy 750ml,Customer Square 2,0,0,6,125.97,125.97,,
Create/Update,027724167505,St George Raspberry Liqueur 750ml,Customer Square 2,0,0,6,107.97,107.97,,
Create/Update,027724177504,St George Spiced Pear 750ml,Customer Square 2,0,1,6,35.99,0.0,,
Create/Update,080480004705,St Germain 200ml,Customer Square 2,0,1,12,27.98,13.99,,
Create/Update,080480006662,St Germain 375ml,Customer Square 2,0,0,12,47.98,47.98,,
Create/Update,0804800047124,St Germain 50ml,Customer Square 2,0,0,48,23.94,23.94,,
Create/Update,080480004699,St Germain 750ml,Customer Square 2,1,1,6,79.98,79.98,,
Create/Update,860003360811,St. Elmo Hop Water 6pk,Customer Square 2,0,0,4,27.96,27.96,,
Create/Update,123551,Stainless Steel Cocktail Picks,Customer Square 2,2,3,24,44.0,42.0,,
Create/Update,876718020520,Stainless Steel Flask,Customer Square 2,1,1,12,143.0,143.0,,
Create/Update,1234500000234,Stainless Tapered Pourer,Customer Square 2,2,6,24,51.0,45.0,,
Create/Update,860000128063,Standard Proof Ginger Rye 750ml,Customer Square 2,0,0,6,29.99,29.99,,
Create/Update,736040003939,Stellum Shaker Barrel 750ml,Customer Square 2,1,2,12,249.95000000000002,199.96,,
Create/Update,851088007289,Still Austin Cask Strength Bourbon  750ml,Customer Square 2,1,2,6,64.99,0.0,,
Create/Update,851088007203,Still Austin Straight Bourbon 375ml,Customer Square 2,0,0,12,65.97,65.97,,
Create/Update,851088007180,Still Austin Straight Bourbon 750ml,Customer Square 2,5,6,6,-128.97,-171.96,,
Create/Update,851088007302,Still Austin Straight Bourbon CMW 750ml,Customer Square 2,0,0,6,85.98,85.98,,
Create/Update,851088007111,Still Austin Texas Rye Gin 750ml,Customer Square 2,2,2,6,28.99,28.99,,
Create/Update,780999000655,Stirrings Dirty Martini Mixer 12oz,Customer Square 2,1,2,6,23.97,15.98,,
Create/Update,780999003618,Stirrings Margarita Mix 750ml,Customer Square 2,3,4,6,71.91,63.92,,
Create/Update,780999000945,Stirrings Simple Syrup 355ml,Customer Square 2,4,4,6,0.0,0.0,,
Create/Update,088004037581,Stirrings Triple Sec 750ml,Customer Square 2,2,2,12,11.99,11.99,,
Create/Update,816136020511,Stolen Overproof 6y 375ml,Customer Square 2,0,0,12,79.96,79.96,,
Create/Update,816136021143,Stolen Whiskey 750ml,Customer Square 2,0,0,6,38.99,38.99,,
Create/Update,811751020489,Stolichnaya Vanilla Vodka 1L,Customer Square 2,0,0,12,89.97,89.97,,
Create/Update,811751020021,Stolichnaya Vodka 1L,Customer Square 2,0,0,12,29.99,29.99,,
Create/Update,818844021163,Stranahan's Blue Peak 750ml,Customer Square 2,0,1,6,42.99,0.0,,
Create/Update,811538013574,Stranahan's Single Malt 750ml,Customer Square 2,0,0,6,54.99,54.99,,
Create/Update,811538017336,Stranahans Sherry Cask 750ml,Customer Square 2,0,0,6,79.99,79.99,,
Create/Update,644216386093,Stray Dog Gin 750ml,Customer Square 2,0,0,4,39.99,39.99,,
Create/Update,072546064778,Suigei Drunken Whale 300ml,Customer Square 2,2,3,12,25.98,12.99,,
Create/Update,080686958024,Suntory Haku Vodka 750ml,Customer Square 2,1,1,6,137.97,137.97,,
Create/Update,080686958031,Suntory Roku Gin 750ml,Customer Square 2,2,2,6,159.96,159.96,,
Create/Update,080686957010,Suntory Toki 750ml,Customer Square 2,1,1,6,919.7700000000001,919.7700000000001,,
Create/Update,84284284255,Super Real Rose Unfiltered 750ml,Customer Square 2,1,2,6,31.99,0.0,,
Create/Update,080432112700,Suze Saveur 750ml,Customer Square 2,0,1,6,59.98,29.99,,
Create/Update,860002024707,Sweet Crude Mellow Mule 8.45oz,Customer Square 2,0,0,24,59.88,59.88,,
Create/Update,860002024714,Sweet Crude OG Tonic 8.45oz,Customer Square 2,0,0,24,59.88,59.88,,
Create/Update,855439000721,Sweet Heat Sugar Rimmer,Customer Square 2,0,0,12,42.0,42.0,,
Create/Update,67688899911,Swick Grenache Noir 750ml,Customer Square 2,0,1,6,45.98,22.99,,
Create/Update,716715190034,Swick Palhete 750ml,Customer Square 2,0,1,6,45.98,22.99,,
Create/Update,716715190010,Swick Roussanne 750ml,Customer Square 2,0,1,6,45.98,22.99,,
Create/Update,855675001315,TRU Lemon Vodka 750ml,Customer Square 2,0,0,1,0.0,0.0,,
Create/Update,855675001308,TRU Organic Vodka 750ml,Customer Square 2,0,0,1,0.0,0.0,,
Create/Update,096749042203,TW Samuels Blended 1L,Customer Square 2,0,0,12,53.94,53.94,,
Create/Update,858379003005,TX Blended Whiskey 750ml,Customer Square 2,2,2,6,41.99,41.99,,
Create/Update,858379003104,TX Bourbon Barrel Proof 750ml,Customer Square 2,0,0,6,69.99,69.99,,
Create/Update,088004010126,Taaka 1.75L,Customer Square 2,5,7,6,181.87,153.89000000000001,,
Create/Update,088004000066,Taaka 200ml,Customer Square 2,10,12,48,32.06,27.48,,
Create/Update,088004000073,Taaka 375ml,Customer Square 2,12,14,24,47.88,39.900000000000006,,
Create/Update,088004011543,Taaka 750ml,Customer Square 2,5,6,12,20.97,13.98,,
Create/Update,086395409000,Takara Gankutsuoh Shochu 750ml,Customer Square 2,0,0,6,29.99,29.99,,
Create/Update,086395405002,Takara Jun 750ml,Customer Square 2,0,0,12,18.99,18.99,,
Create/Update,086395412000,Takara Kurokame Shochu 750ml,Customer Square 2,0,0,6,29.99,29.99,,
Create/Update,086395365009,Takara Plum Wine 750ml,Customer Square 2,0,0,6,8.99,8.99,,
Create/Update,086395413007,Takara Shochu Benikko Sweet Potato 750ml,Customer Square 2,0,0,6,34.99,34.99,,
Create/Update,086395410006,Takara Towari Shochu 750ml,Customer Square 2,0,0,6,29.99,29.99,,
Create/Update,086395408003,Takara Yokaichi Mugi Shochu 750ml,Customer Square 2,0,0,6,18.99,18.99,,
Create/Update,088110170059,Talisker 10y 750ml,Customer Square 2,0,1,6,239.96999999999997,159.98,,
Create/Update,088076164710,Talisker 18y 750ml,Customer Square 2,0,0,6,159.99,159.99,,
Create/Update,088076179028,Talisker Storm 750ml,Customer Square 2,0,0,6,129.98,129.98,,
Create/Update,072546047740,Tamano Hikari Junmai Ginjo 180ml,Customer Square 2,2,2,30,23.97,23.97,,
Create/Update,088110110642,Tanqueray 375ml,Customer Square 2,0,0,24,29.98,29.98,,
Create/Update,08950000,Tanqueray 50ml,Customer Square 2,0,0,120,23.88,23.88,,
Create/Update,088110110307,Tanqueray 750ml,Customer Square 2,1,2,12,28.99,0.0,,
Create/Update,088076168657,Tanqueray Rangpur 1L,Customer Square 2,0,0,12,155.96,155.96,,
Create/Update,088110158590,Tanqueray Ten 1L,Customer Square 2,0,0,12,44.99,44.99,,
Create/Update,701192020042,Tapatio Anejo 750ml,Customer Square 2,1,1,2,49.99,49.99,,
Create/Update,701192030034,Tapatio Blanco 1L,Customer Square 2,5,6,12,,,,
Create/Update,701192030157,Tapatio Blanco Overproof 110 750ml,Customer Square 2,1,1,2,54.99,54.99,,
Create/Update,701192040026,Tapatio Extra Anejo 750ml,Customer Square 2,0,0,2,279.98,279.98,,
Create/Update,701192010043,Tapatio Reposado 750ml,Customer Square 2,1,1,12,199.95000000000002,199.95000000000002,,
Create/Update,084692300945,Taylor Fladgate 10y Tawny Port  750ml,Customer Square 2,0,0,12,221.94,221.94,,
Create/Update,724803001056,Taylors Velvet Falernum 750ml,Customer Square 2,1,2,12,33.98,16.99,,
Create/Update,040232028762,Tears Of Llorona Extra Anejo 1L,Customer Square 2,0,0,6,0.0,0.0,,
Create/Update,4920321004272,Teeda Okinawan Rum 750ml,Customer Square 2,0,0,6,42.99,42.99,,
Create/Update,813219020444,Teeling Blackpits 750ml,Customer Square 2,0,0,6,74.99,74.99,,
Create/Update,813219020062,Teeling Single Grain 750ml,Customer Square 2,0,0,6,55.99,55.99,,
Create/Update,813219020048,Teeling Small Batch Irish Whiskey 750ml,Customer Square 2,0,0,6,42.99,42.99,,
Create/Update,720815922136,Templeton 10yr Rye 750ml,Customer Square 2,0,0,6,89.99,89.99,,
Create/Update,720815920149,Templeton Rye 1L,Customer Square 2,0,0,6,239.94,239.94,,
Create/Update,720815920026,Templeton Rye 375ml,Customer Square 2,0,0,12,35.98,35.98,,
Create/Update,720815920101,Templeton Rye 750ml,Customer Square 2,1,1,6,73.98,73.98,,
Create/Update,087229200282,Tempus Fugit Creme De Banane 750ml,Customer Square 2,1,1,6,199.95000000000002,199.95000000000002,,
Create/Update,08729920003818,Tempus Fugit Creme De Cacao 750ml,Customer Square 2,0,1,6,239.94,199.95000000000002,,
Create/Update,094922370884,Tempus Fugit Creme De Menthe 750ml,Customer Square 2,1,1,4,39.99,39.99,,
Create/Update,051497163013,Tempus Fugit Creme De Moka 750ml,Customer Square 2,0,0,6,239.94,239.94,,
Create/Update,094922370877,Tempus Fugit Creme De Noyaux 750ml,Customer Square 2,0,0,6,79.98,79.98,,
Create/Update,094922049971,Tempus Fugit Creme De Violettes 750ml,Customer Square 2,0,0,2,73.98,73.98,,
Create/Update,094922327635,Tempus Fugit Gran Classico 750ml,Customer Square 2,1,1,6,125.97,125.97,,
Create/Update,094922370853,Tempus Fugit Quinquina 750ml,Customer Square 2,0,0,4,77.98,77.98,,
Create/Update,094922370891,Tempus Fugit Vieux Pontarlier Absinthe 750ml,Customer Square 2,0,0,6,287.96,287.96,,
Create/Update,736040545408,Tenjaku Blended 750ml,Customer Square 2,0,0,6,42.99,42.99,,
Create/Update,855615003065,Tequila 512 Blanco 375ml,Customer Square 2,0,0,12,79.96,79.96,,
Create/Update,855615003003,Tequila 512 Blanco 750ml,Customer Square 2,0,0,12,123.96,123.96,,
Create/Update,855615003010,Tequila 512 Reposado 750ml,Customer Square 2,0,1,12,443.88,406.89000000000004,,
Create/Update,898627001322,Tequila Ocho Anejo 750ml,Customer Square 2,0,1,6,200.96999999999997,133.98,,
Create/Update,898627001155,Tequila Ocho Extra Anejo 750ml,Customer Square 2,0,0,6,229.99,229.99,,
