,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
5527,898432002538,Dulce Vida Reposado 375ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,12.0,,,
5532,7640105020447,Duplais Blanche Absinthe 750ml,Customer Square 3,Oak Hill,ACTIVE,Absinthe,3.0,,,
5533,7640105020447,Duplais Blanche Absinthe 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Absinthe,2.0,,,
5534,7640105020737,Duplais Verte Absinthe 750ml,Customer Square 3,Oak Hill,ACTIVE,Absinthe,3.0,,,
5535,7640105020737,Duplais Verte Absinthe 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Absinthe,3.0,,,
5553,080480002947,Dusse XO 750ml,Customer Square 3,Oak Hill,ACTIVE,Cognac,1.0,,,
5554,080480002947,Dusse XO 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Cognac,2.0,,,
5584,08538602,E & J VSOP Brandy 50ml,Customer Square 3,Oak Hill,ACTIVE,Brandy,120.0,,,
5586,700064761847,E Cuarenta Blanco 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,2.0,,,
5610,088004047955,Early Times Bonded 1L,Customer Square 1,Airport,ACTIVE,Whiskey Bourbon/American,1.0,,,
5614,85604005569,East Ciders Rose Cans 6 Pack,Customer Square 2,Pleasant Valley,DEPRECATED,Cider,1.0,,,
5655,718122673827,Eden Brandy Heirloom Blend 375ml,Customer Square 2,Pleasant Valley,ACTIVE,Cider,1.0,,,
5661,8437008054131,Edetaria Seleccio Red 2014 750ml,Customer Square 3,Oak Hill,ACTIVE,Red Old World,1.0,,,
5664,089744757890,Edinburgh Classic Gin 750ml,Customer Square 3,Oak Hill,ACTIVE,Gin,1.0,,,
5668,089744761910,Edinburgh Elderflower 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,2.0,,,
5669,89744761927,Edinburgh Raspberry 750ml,Customer Square 1,Airport,ACTIVE,Liqueur,1.0,,,
5673,088320541052,Edinburgh Rhubarb and Ginger 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Liqueur,2.0,,,
5684,608782502363,Eggenberg Radler 4pk Cans,Customer Square 3,Oak Hill,ACTIVE,Imp Beer,6.0,,,
5703,736040543091,Eifel Whisky Single Malt 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whisky German,2.0,,,
5719,856222006104,Einstok White Ale 6pk Cans,Customer Square 3,Oak Hill,ACTIVE,Imp Beer,1.0,,,
5722,860004879022,El Bandido Reposado 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Tequila,1.0,,,
5724,852681918088,El Buho Espadin 1L,Customer Square 3,Oak Hill,ACTIVE,Mezcal,4.0,,,
5725,852681918088,El Buho Espadin 1L,Customer Square 2,Pleasant Valley,ACTIVE,Mezcal,4.0,,,
5747,711629002015,El Dorado 15y Madeira Dry Cask 750ml,Customer Square 1,Airport,ACTIVE,Rum,1.0,,,
5750,711629001260,El Dorado 15y Red Wine Cask 750ml,Customer Square 1,Airport,ACTIVE,Rum,1.0,,,
5751,711629001260,El Dorado 15y Red Wine Cask 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,1.0,,,
5755,711629002053,El Dorado 15y Sauternes Cask 750ml,Customer Square 1,Airport,ACTIVE,Rum,1.0,,,
5756,711629002053,El Dorado 15y Sauternes Cask 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,1.0,,,
5759,7116290002039,El Dorado 15y White Port Cask 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,1.0,,,
